id,desc,asset name,image,category,subcategory,color,fit,brand,occasion,link,price,commission (%),commission (Rp)
20,"A black short-sleeve, button-up shirt with a pointed collar, made of a matte fabric, suitable for professional or casual wear.",affiliate-men-20,,Top,T-Shirt,Black,Regular,Klotifai,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSSJvLjMk/,Rp178.000,5,Rp8.900
21,"A white short-sleeve, button-up shirt with a mandarin collar and a front chest pocket, crafted from a crisp, clean fabric, perfect for formal or semi-formal settings.",affiliate-men-21,,Top,T-Shirt,White,Regular,Klotifai,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSSJvdETp/,Rp169.000,5,Rp8.450
22,"A medium gray long-sleeve dress shirt with a traditional collar, made of a soft, lightweight fabric, ideal for business or formal wear.",affiliate-men-22,,Top,T-Shirt,Gray,Regular,Klotifai,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSSJvRC6A/,Rp178.000,5,Rp8.900
23,"A dark green long-sleeve dress shirt with a pointed collar, crafted from a smooth, matte fabric, suitable for formal and professional settings.",affiliate-men-23,,Top,T-Shirt,"Green, Olive",Regular,Klotifai,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSSJvPbLn/,Rp218.000,5,Rp10.900
24,"A navy blue long-sleeve dress shirt with a pointed collar, made of a smooth, slightly glossy fabric, suitable for business or formal wear.",affiliate-men-24,,Top,T-Shirt,Navy,Regular,Klotifai,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSSJv5QAQ/,Rp218.000,5,Rp10.900
25,"A white long-sleeve dress shirt with a classic collar, crafted from a crisp, clean fabric, perfect for professional or formal occasions.",affiliate-men-25,,Top,T-Shirt,White,Regular,Klotifai,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSSJvybmM/,Rp249.000,5,Rp12.450
26,,affiliate-mens-26,,Bottom,,"Gray, Black, Navy",Slim,-,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSBm8TR3c/,Rp45.000,10,Rp4.500
27,,affiliate-mens-27,,Bottom,,"Gray, Brown, Beige, Black",Slim,-,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSBmFvCAf/,Rp95.000,10,Rp9.500
26,"Black leather look jeans with a tapered fit, textured finish, and a sleek appearance, perfect for edgy or fashion-forward styles.",affiliate-men-26,,Bottom,Jeans,Black,Oversized,Gizmoclothes,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJvLwcU/,Rp177.550,16,Rp28.408
27,"Light blue denim jeans with a slim fit, belt loops, and a classic five-pocket design, suitable for casual or everyday wear.",affiliate-men-27,,Bottom,Jeans,Blue,Regular,Greenemerald,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJvBKFx/,Rp94.999,11,Rp10.450
28,"Dark gray jeans with a slight fade, a straight cut, and a traditional five-pocket style, ideal for casual or semi-formal outfits.",affiliate-men-28,,Bottom,Jeans,Gray,Slim,Trondheim,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJvAQox/,Rp139.000,10,Rp13.900
35,,affiliate-mens-35,,Bottom,,Black,Slim,-,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSBmYPWFn/,Rp80.000,10,Rp8.000
29,"Beige trousers with a tailored fit, front pockets, and a clean design, suitable for smart-casual or professional settings.",affiliate-men-29,,Bottom,Jeans,Tan,Oversized,Gizmoclothes,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJvkJNu/,Rp138.000,15,Rp20.700
30,"Classic black tailored pants with a high waist, belt loops, and a straight-leg fit, suitable for formal or business casual outfits.",affiliate-men-30,,Bottom,Jeans,Black,Oversized,Gizmoclothes,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJvMJq2/,Rp179.550,16,Rp28.728
31,"Light blue wide-leg jeans with a high waist, classic five pockets, and a slightly faded finish, ideal for casual, stylish outfits.",affiliate-men-31,,Bottom,Jeans,Blue,Oversized,Trondheim,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJvfP6R/,Rp159.000,10,Rp15.900
39,,affiliate-mens-39,,Outerwear,,"Beige, Tan, Black, Navy",Slim,-,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSBmYTtvx/,Rp83.300,10,Rp8.330
32,"an orange quilted bomber jacket with a zip closure, ribbed cuffs and hem, and a sleek, contemporary style suitable for casual wear.",affiliate-men-32,,Outerwear,Jacket,Orange,Regular,Furiex,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJvAwCr/,Rp105.000,8,Rp8.400
33,"A black windbreaker jacket with a zip closure, hood, and elastic cuffs, featuring graphic prints and text on the front and sleeves.",affiliate-men-33,,Outerwear,Jacket,Black,Regular,Evernext,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJv5aa7/,Rp139.900,10,Rp13.990
42,,affiliate-mens-42,,Outerwear,,Tan,Regular,-,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSBmYokfK/,Rp98.000,5,Rp4.900
43,,affiliate-mens-43,,Outerwear,,"Black, Orange",Regular,-,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSBm2MGyT/,Rp124.800,8,Rp9.984
34,"a classic black denim jacket with metal buttons, front pockets, and a structured collar, complemented by visible stitching details.",affiliate-men-34,,Outerwear,Jacket,Black,Regular,Trondheim,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJv5Ut6/,Rp149.000,10,Rp14.900
35,"a classic blue denim jacket with reinforced stitching, a button-up front, and flap pockets, ideal for casual wear.",affiliate-men-35,,Outerwear,Jacket,Navy,Regular,Cutoff,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJvkJ9e/,Rp299.000,10,Rp29.900
36,"a black acid-wash denim jacket, slightly oversized with decorative patches, metal buttons, and a collared design for a vintage-inspired look.",affiliate-men-36,,Outerwear,Jacket,"Black, Gray",Regular,Falproject.co,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJvysvx/,Rp135.000,10,Rp13.500
37,"a light blue denim jacket with a relaxed fit, front button closure, and chest pockets, made of a softer, faded denim fabric.",affiliate-men-37,,Outerwear,Jacket,Royal Blue,Regular,Trondheim,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJv6ds8/,Rp149.000,10,Rp14.900
38,"a pair of classic white sneakers with a minimalist design, featuring white laces and a streamlined silhouette.",affiliate-men-38,,Footwear,Sneakers,White,Regular,Brodo,"Casual, Semi-Formal, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJvfvcA/,Rp340.100,5,Rp17.005
49,,affiliate-mens-49,,Footwear,,White,Regular,-,"Casual, Semi-Formal, Vacation/Travel",https://vt.tokopedia.com/t/ZSBm2xqdw/,Rp56.000,10,Rp5.600
39,"Clean, white sneakers with subtle branding and perforated toe design, featuring a classic, minimalist style perfect for casual wear and versatile outfits.",affiliate-men-39,,Footwear,Sneakers,White,Regular,Paulmay,"Casual, Semi-Formal, Vacation/Travel",https://vt.tokopedia.com/t/ZSSJVmF3o/,Rp194.670,10,Rp19.467
40,"a pair of athletic running shoes in blue and gray, equipped with cushioned soles, breathable upper material, and intricate tread patterns for traction.",affiliate-men-40,,Footwear,Sneakers,"Blue, White",Regular,Kenxiex,Sportswear,https://vt.tokopedia.com/t/ZSSJsmVse/,Rp148.000,10,Rp14.800
41,"sporty black sneakers with orange accents, with a rugged sole and durable upper, designed for outdoor or trail running.",affiliate-men-41,,Footwear,Sneakers,"Black, Orange",Regular,Rub Track,Sportswear,https://vt.tokopedia.com/t/ZSSJsaeGn/,Rp184.900,7,Rp12.943
42,"Black slip-on slides with textured insoles and a small logo, offering a simple, comfortable casual footwear option.",affiliate-men-42,,Footwear,Sneakers,Black,Regular,Brodo,"Casual, Vacation/Travel", https://vt.tokopedia.com/t/ZSB7Te4EQ/,Rp129.000,5,Rp6.450
43,"Gray athletic sneakers with a cushioned sole and supportive design, perfect for active lifestyles.",affiliate-men-43,,Footwear,Sneakers,"Tan, Gray",Regular,Brodo,"Casual, Semi-Formal, Formal, Work/Office",https://vt.tokopedia.com/t/ZSBvUajgM/,Rp459.000,5,Rp22.950
44,"Black athletic sneakers with breathable mesh and cushioned soles, designed for active wear and athletic performance.",affiliate-men-44,,Footwear,Sneakers,Black,Regular,Brodo,Sportswear,https://vt.tokopedia.com/t/ZSBvy1FH1/,Rp265.940,10,Rp26.594
45,"Tan bifold wallet with multiple card slots and a clear ID window, combining practicality and style.",affiliate-men-45,,Accessory,Wallet,Brown,Regular,Brodo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax",https://vt.tokopedia.com/t/ZSBvy94r5/,Rp150.875,5,Rp7.544
46,"Black adjustable belt with a sleek buckle, suitable for formal or casual outfits.",affiliate-men-46,,Accessory,Belt,Black,Regular,Brodo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSBvyUhjx/,Rp138.500,5,Rp6.925
47,"Dark navy baseball cap with a curved brim and subtle logo patch, suitable for everyday casual wear.",affiliate-men-47,,Accessory,Hat,Navy,Regular,Brodo,"Sportswear, Semi-Formal, Casual, Lounge/Relax",https://vt.tokopedia.com/t/ZSBvyG7p1/,Rp118.000,5,Rp5.900
48,"Black cap featuring a mesh back and a branded patch, perfect for casual outdoor activities.",affiliate-men-48,,Accessory,Hat,Black,Regular,Brodo,"Sportswear, Semi-Formal, Casual, Lounge/Relax",https://vt.tokopedia.com/t/ZSBvygrBP/,Rp118.000,5,Rp5.900
49,"Red button-up shirt with a classic collar and front pocket, versatile for casual and semi-formal occasions.",affiliate-men-49,,Top,Shirt,Maroon,Regular,Cutoff,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSBvfB822/,Rp149.000,10,Rp14.900
50,"Crisp sky blue men's button-up shirt with a classic collar, front chest pocket, and long sleeves, suitable for formal or professional settings.",affiliate-men-50,,Top,Shirt,Sky blue,Regular,Cutoff,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSBvPkQFy/,Rp169.000,10,Rp16.900
51,"Dark gray shirt with embroidery accents and a mandarin collar, blending modern design with elegant detail.",affiliate-men-51,,Top,Shirt,Charcoal,Regular,Cutoff,"Casual, Semi-Formal, Party/Events, Formal",https://vt.tokopedia.com/t/ZSBvP4PcB/,Rp169.000,10,Rp16.900
52,"Navy blue shirt with a classic collar and button-down front, offering a sleek, versatile style for various occasions.",affiliate-men-52,,Top,Shirt,Navy,Regular,Cutoff,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSBo3B9ds/ ,Rp199.000,10,Rp19.900
53,"Pair of beige tailored trousers featuring a classic fit, front pockets, belt loops, and a single button closure for sophisticated casual or office wear.",affiliate-men-53,,Bottom,Chinos,Khaki,Slim,Cutoff,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSBoTUdQT/ ,Rp249.000,10,Rp24.900
54,"Olive green shirt with a stand collar, button front, and sleek design, offering a modern yet refined appearance.",affiliate-men-54,,Top,Shirt,Olive,Regular,Cutoff,"Casual, Semi-Formal, Formal, Work/Office, Lounge/Relax",https://vt.tokopedia.com/t/ZSBowRKFx/,Rp199.000,10,Rp19.900
55,"A sand short-sleeve button-up shirt with a single chest pocket, made of soft fabric, ideal for casual or semi-formal wear.",affiliate-men-55,,Top,Shirt,Sand,Regular,Cutoff,"Casual, Semi-Formal, Formal, Work/Office",https://vt.tokopedia.com/t/ZSBowAo7W/,Rp179.000,10,Rp17.900
56,"Classic beige sweatshirt with brown accents, a collar, zipper, and embroidered logo for a sporty, stylish look.",affiliate-men-56,,Outerwear,Sweater,"Beige, Brown",Oversized,Evernext,"Casual, Semi-Formal, Party/Events, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSBoEyq2a/,Rp135.000,10,Rp13.500
57,"A black, slim, rectangular pouch with a zipper closure, featuring a textured surface and a minimalistic, modern look.",affiliate-men-57,,Accessory,Bag,Black,Regular,Evernext,"Casual, Semi-Formal, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSBoEGeUb/,Rp115.000,10,Rp11.500
58,"A navy blue, lightweight zip-up jacket with elastic cuffs, a high collar, and a sleek, sporty design for outdoor activities.",affiliate-men-58,,Outerwear,Jacket,Navy,Regular,Evernext,"Casual, Sportswear, Vacation/Travel",https://vt.tokopedia.com/t/ZSBoo1BQ1/,Rp155.000,10,Rp15.500
59,"A color-block windbreaker jacket in blue, beige, and orange with a zip-up front and minimalist design, suitable for sporty or outdoor activities.",affiliate-men-59,,Outerwear,Jacket,"Teal, Brown, Khaki",Regular,Evernext,"Casual, Sportswear, Vacation/Travel",https://vt.tokopedia.com/t/ZSBooFpcP/,Rp195.000,10,Rp19.500
60,"A black denim shirt with patches and embroidery, featuring a casual, streetwear style with a rugged, rebellious look.",affiliate-men-60,,Outerwear,Jacket,Black,Regular,Falproject.co,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSS11PPke/,Rp100.000,5,Rp5.000
61,"A dark grey, tie-dye hoodie with a front pocket and bold graphic text, perfect for a comfy, grunge, or streetwear fashion statement.",affiliate-men-61,,Outerwear,Hoodie,"Gray, Black, Charcoal",Oversized,Falproject.co,"Casual, Semi-Formal, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSS11maPq/,Rp115.000,5,Rp5.750
62,"A layered hoodie and denim jacket featuring a grey hoodie under a black denim jacket with embroidered patches and printed details for a casual, urban look.",affiliate-men-62,,Outerwear,Hoodie,"Gray, Black, Charcoal",Oversized,Falproject.co,"Casual, Semi-Formal, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSS11DLcA/,Rp255.000,5,Rp12.750
63,"A black short-sleeve shirt with patches and embroidery, giving a rugged, streetwear style with military-inspired accessories.",affiliate-men-63,,Top,Shirt,Black,Regular,Falproject.co,"Semi-Formal, Formal, Work/Office",https://vt.tokopedia.com/t/ZSS11WVyB/,Rp95.000,5,Rp4.750
64,"A pair of black quilted shorts with a drawstring waist, offering a comfortable and sporty appearance.",affiliate-men-64,,Bottom,Short,"Gray, Black",Regular,Furiex,"Casual, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSS1JR53o/,Rp46.000,6,Rp2.760
65,"A pair of beige tailored trousers with a clean, classic fit, suitable for business or smart-casual attire.",affiliate-men-65,,Bottom,Trousers,Beige,Slim,Furiex,"Formal, Casual, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS1erbEJ/,Rp79.000,8,Rp6.320
66,"A brown zip-up bomber jacket with a ribbed texture, designed for a sleek, modern casual look",affiliate-men-66,,Outerwear,Jacket,Brown,Regular,Furiex,"Semi-Formal, Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSS1eFR3p/,Rp103.250,8,Rp8.260
67,"A pair of sage loose-fit pants with an elastic waistband, offering a comfortable, relaxed style for everyday casual outfits.",affiliate-men-67,,Bottom,Trousers,Sage,Regular,Furiex,"Formal, Casual, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS1epQ4T/,Rp110.250,8,Rp8.820
68,"Stylish gray pants with a slim fit and matte finish, suitable for a modern, sophisticated casual or streetwear ensemble.",affiliate-men-68,,Bottom,Jeans,Gray,Oversized,Gizmoclothes,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSS1dNjkk/ ,Rp138.000,15,Rp20.700
69,"Classic light blue denim jeans with a straight-leg cut, featuring a traditional five-pocket design and a clean, timeless look.",affiliate-men-69,,Bottom,Jeans,Blue,Oversized,Gizmoclothes,"Casual, Vacation/Travel",https://vt.tokopedia.com/t/ZSS1dXPFH/,Rp138.000,15,Rp20.700
70,"Pair of sporty, multi-colored sneakers with a sturdy sole, featuring blue, beige, and gray accents, ideal for running or casual wear.",affiliate-men-70,,Footwear,Sneakers,"White, Navy, Beige, Gray",Regular,Kenxiex,Sportswear,https://vt.tokopedia.com/t/ZSSJ4yKtR/,Rp122.000,10,Rp12.200
71,"Black athletic shoes with reinforced sole and breathable mesh, ideal for running or sports activities, featuring a sleek, modern design.",affiliate-men-71,,Footwear,Sneakers,Black,Regular,Kenxiex,Sportswear,https://vt.tokopedia.com/t/ZSSJ4vJyJ/ ,Rp145.000,9,Rp13.050
72,"White and blue athletic sneakers with a cushioned sole and vibrant design, perfect for casual wear or sports.",affiliate-men-72,,Footwear,Sneakers,"Blue, White, Green",Regular,Kenxiex,Sportswear,https://vt.tokopedia.com/t/ZSSJVMgh1/,Rp128.000,10,Rp12.800
73,"Stylish black and beige sneakers with a modern, chunky sole, combining fashion and comfort for everyday use.",affiliate-men-73,,Footwear,Sneakers,"Gray, Khaki, Sage",Regular,Kenxiex,Sportswear,https://vt.tokopedia.com/t/ZSSJVeFsH/,Rp135.000,8,Rp10.800
74,"Classic black slip-on dress shoes with a polished finish, suitable for formal occasions or business settings.",affiliate-men-74,,Footwear,Pantofel,Black,Regular,Paulmay,"Formal, Work/Office, Party/Events",https://vt.tokopedia.com/t/ZSSJbhPxB/,Rp213.740,10,Rp21.374
75,"Stylish brown slip-on shoes with a sleek, polished leather finish, suitable for formal or semi-formal occasions.",affiliate-men-75,,Footwear,Pantofel,Brown,Regular,Paulmay,"Formal, Work/Office, Party/Events",https://vt.tokopedia.com/t/ZSSJbhPxB/,Rp213.740,10,Rp21.374
76,"Classic black sneakers with a minimalist design, white sole, and comfortable fit, perfect for everyday casual wear.",affiliate-men-76,,Footwear,Sneakers,"White, Black",Regular,Paulmay,"Casual, Semi-Formal, Vacation/Travel, Lounge/Relax, Work/Office",https://vt.tokopedia.com/t/ZSSJqoLch/,Rp194.560,10,Rp19.456
77,"Classic brown leather dress shoes with a sleek finish and low heels, ideal for business or formal occasions.",affiliate-men-77,,Footwear,Pantofel,Brown,Regular,Paulmay,"Formal, Work/Office, Party/Events",https://vt.tokopedia.com/t/ZSSJbVvep/,Rp213.740,10,Rp21.374
78,"Rugged hiking boots with ankle support, durable black material, and orange accents, designed for outdoor adventures and rough terrains.",affiliate-men-78,,Footwear,Boots,"Black, Orange",Regular,Rub Track,Sportswear,https://vt.tokopedia.com/t/ZSSJbCBYB/,Rp219.000,7,Rp15.330
79,"Athletic sneakers with a modern gray and pink design, cushioned sole, ideal for running or casual sports activities.",affiliate-men-79,,Footwear,Boots,"Gray, Charcoal, Hot Pink",Regular,Rub Track,Sportswear,https://vt.tokopedia.com/t/ZSSJg8j7r/,Rp219.000,7,Rp15.330
80,"Black leather tactical boots with rugged soles, suitable for military, security, or outdoor activities requiring durability and ankle support.",affiliate-men-80,,Footwear,Boots,Black,Regular,Rub Track,Sportswear,https://vt.tokopedia.com/t/ZSSJbwyEr/,Rp229.000,7,Rp16.030
81,"A pair of sturdy, outdoor walking shoes in dark grey with yellow accents, designed for rugged terrains and hiking adventures.",affiliate-men-81,,Footwear,Boots,"Army, Black, Yellow",Regular,Rub Track,Sportswear,https://vt.tokopedia.com/t/ZSSJgVp9r/,Rp219.000,7,Rp15.330
82,"Elegant black wristwatch with a minimalist design, featuring a round face, silver hands, and a date window, perfect for formal and professional settings.",affiliate-men-82,,Accessory,Watch,Black,Regular,Hannah Martin,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSSJgweQf/,Rp149.000,5,Rp7.450
83,"A rugged, sporty chronograph with a gray dial, black case, and metal bracelet, designed for active lifestyles and precision timing.",affiliate-men-83,,Accessory,Watch,Black,Regular,Hannah Martin,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSSJgspy6/,Rp259.350,5,Rp12.968
84,"A luxurious, gold-tone sports watch with a black dial and leather strap, blending bold design with advanced features.",affiliate-men-84,,Accessory,Watch,"Black, Gold",Regular,Hannah Martin,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSSJpMhxD/,Rp89.000,5,Rp4.450
85,"A sleek, modern wristwatch with a black dial, rose gold case, and leather strap, emphasizing sophistication and simplicity.",affiliate-men-85,,Accessory,Watch,"Black, Gold",Regular,Hannah Martin,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSSJpUB9h/,Rp94.900,5,Rp4.745
86,"A stylish smartwatch with a black dial, silver case, and leather strap, showcasing elegant minimalism and functionality.",affiliate-men-86,,Accessory,Watch,"Black, Silver",Regular,Hannah Martin,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSSJp2nNJ/,Rp169.000,5,Rp8.450
