id,desc,asset name,image,category,subcategory,color,fit,brand,occasion,link,price,commission (%),commission (Rp)
16,"A sleek, minimalist background with a pair of black satin slip-on sandals with tortoise shell accents, emphasizing a chic, modern style.",affiliate-women-16,women-54 Background Removed.png,Footwear,Sandals,Black,Regular,Urban & Co,"Casual, Party/Events, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLNSxaD/,"Rp164.900,00",5,Rp8.245
17,"A sleek, minimalist background with a pair of black satin slip-on sandals with tortoise shell accents, emphasizing a chic, modern style.",affiliate-women-17,women-55.png,Footwear,Sandals,Black,Regular,Urban & Co,"Casual, Semi-Formal, Formal, Work/Office",https://vt.tokopedia.com/t/ZSSLNELua/,"Rp179.900,00",5,Rp8.995
18,"Tan leather ballerina flats with a decorative emblem on the toe, offering a sophisticated and timeless look.",affiliate-women-18,women-56 Background Removed.png,Footwear,Flat shoes,Brown,Regular,Urban & Co,"Casual, Semi-Formal, Formal, Work/Office",https://vt.tokopedia.com/t/ZSSLNgU3H/,"Rp180.900,00",5,Rp9.045
19,"Black patent pointed-toe slingback flats with a large buckle detail, combining sleekness with modern elegance.",affiliate-women-19,women-57 Background Removed.png,Footwear,Flat shoes,Black,Regular,Urban & Co,"Casual, Semi-Formal, Formal, Work/Office",https://vt.tokopedia.com/t/ZSSLNgU3H/,"Rp174.800,00",5,Rp8.740
20,"A lilac button-up shirt with a classic collar, neatly pressed, offering a soft and elegant touch to casual and formal looks.",affiliate-women-20,women-58.png,Top,Shirt,Lilac,Regular,Aiisha Indonesia,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSSLYtsxQ/,"Rp35.900,00",10,Rp3.590
21,"Light blue striped shirt with button closure, long sleeves, and a relaxed fit, ideal for a casual yet polished outfit.",affiliate-women-21,women-59.png,Top,Shirt,Sky blue,Regular,Aiisha Indonesia,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSSLY7FHE/,"Rp58.260,00",10,Rp5.826
22,"A long-sleeve, button-down shirt with a classic cut, in vibrant green, blending timeless style with modern color.",affiliate-women-22,women-60.png,Top,Shirt,Green,Regular,Aiisha Indonesia,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSSLYqAxf/,"Rp58.260,00",10,Rp5.826
23,"A sleek maroon shirt with a high collar, long sleeves, and buttons, blending modern elegance with bold color.",affiliate-women-23,women-61.png,Top,Shirt,Maroon,Regular,Aiisha Indonesia,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSSLYqAxf/,"Rp58.260,00",10,Rp5.826
24,"A casual knit T-shirt with horizontal red and beige stripes, perfect for a relaxed, everyday look.",affiliate-women-24,women-63 Background Removed.png,Top,T-Shirt,"Dark Red, White",Croptop,Studiojsj,"Casual, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSSL2WxJs/,"Rp52.800,00",7,Rp3.696
25,"A plain white, short-sleeved t-shirt with a high neckline, displaying minimalist elegance on a hanger.",affiliate-women-25,women-64 Background Removed.png,Top,T-Shirt,White,Croptop,Studiojsj,"Casual, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSSLjNRnf/,"Rp52.800,00",7,Rp3.696
26,"A brown, zip-up hoodie with a drawstring, featuring a casual and comfortable style.",affiliate-women-26,women-65 Background Removed.png,Outerwear,Hoodie,Brown,Slim,Studiojsj,"Casual, Vacation/Travel, Lounge/Relax, Sportswear",https://vt.tokopedia.com/t/ZSSLjUjFv/,"Rp46.000,00",5,Rp2.300
27,"A light gray, short-sleeved top with a round neckline and subtle texture",affiliate-women-27,women-66 Background Removed.png,Top,T-Shirt,Gray,Croptop,Studiojsj,"Casual, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSSLjQGku/,"Rp50.000,00",7,Rp3.500
28,"A soft pink, short-sleeved blouse with a round neckline and gathered sides, creating a relaxed and stylish look.",affiliate-women-28,women-67 Background Removed.png,Top,T-Shirt,Pink,Slim,Studiojsj,"Casual, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSSLj7X7f/,"Rp46.000,00",5,Rp2.300
29,"Versatile white t-shirt featuring a charming bow and cherry graphic, perfect for casual wear with a fun twist.",affiliate-women-29,women-68.png,Top,T-Shirt,White,Croptop,Studiojsj,"Casual, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSSL61Q4n/,"Rp46.000,00",7,Rp3.220
30,"Chic white shirt with a gold chain belt, adding a cute and elegant yet sophisticated touch.",affiliate-women-30,women-69 Background Removed.png,Top,Shirt,White,Regular,Rproject01,"Formal, Party/Events",https://vt.tokopedia.com/t/ZSSL6HH63/,"Rp55.860,00",15,Rp8.379
31,"Elegant black maxi dress with a stand collar and decorative white stitching, perfect for formal occasions and evening events.",affiliate-women-31,women-70 Background Removed.png,Full Body,Dress,Black,Regular,Rproject01,"Casual, Work/Office, Formal, Semi-Formal",https://vt.tokopedia.com/t/ZSSLM6mKV/,"Rp109.983,33",12,Rp13.198
32,"Stylish maroon dress with embroidered floral details and a comfortable relaxed fit, ideal for festive or special celebrations.
",affiliate-women-32,women-71 Background Removed.png,Top,Blouse,Maroon,Regular,Rproject01,"Casual, Work/Office, Formal, Semi-Formal",https://vt.tokopedia.com/t/ZSSLM69oe/,"Rp79.976,92",13,Rp10.397
33,"Sophisticated gray blouse with a bow neckline and puffed sleeves, offering elegant and versatile style options.",affiliate-women-33,women-72 Background Removed Background Removed.png,Top,Blouse,Gray,Regular,Rproject01,"Casual, Work/Office, Formal, Semi-Formal",https://vt.tokopedia.com/t/ZSSLr1Fqw/,"Rp57.980,00",15,Rp8.697
34,"Adorable white oversize shirt with a cute girl illustration, blending playful art and cozy comfort for kids' casual fashion.",affiliate-women-34,women-77 Background Removed.png,Top,Shirt,Beige,Oversized,Oversize Outfit Hub,"Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLhqc2o/,"Rp55.460,00",10,Rp5.546
35,"Fun brown oversized shirt with colorful cartoon characters and text, ideal for kids’ casual, everyday style.",affiliate-women-35,women-78 Background Removed.png,Top,Shirt,Brown,Oversized,Oversize Outfit Hub,"Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLh9xNL/,"Rp55.460,00",10,Rp5.546
36,"Classic white varsity-style sweatshirt featuring purple and gold ‘Lakers’ logo and the number 23, perfect for sports fans and casual wear.",affiliate-women-36,women-79 Background Removed.png,Top,Shirt,Beige,Oversized,Oversize Outfit Hub,"Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLhwYRM/,"Rp55.460,00",10,Rp5.546
37,"Oversized beige shirt featuring pink graphic numbers and lettering, combining sporty and casual style for a relaxed, trendy look.",affiliate-women-37,women-80 Background Removed.png,Top,Shirt,Beige,Oversized,Oversize Outfit Hub,"Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLkLhV6/,"Rp55.460,00",10,Rp5.546
38,"Stylish high-waisted blue jeans in a timeless fit, perfect for everyday casual or casual-smart outfits.",affiliate-women-38,women-85 Background Removed.png,Bottom,Jeans,Blue,Cutbray,EastRose.id,"Semi-Formal, Party/Events, Work/Office, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSSLSwG4E/,"Rp289.000,00",5,Rp14.450
39,"Elegant white sleeveless top featuring large statement buttons, ideal for a polished daytime look.",affiliate-women-39,women-86 Background Removed.png,Top,Vest,White,Slim,EastRose.id,"Casual, Vacation/Travel, Lounge/Relax, Party/Events",https://vt.tokopedia.com/t/ZSSLAjE3R/,"Rp159.000,00",5,Rp7.950
40,"Sleek black skort with a sophisticated asymmetric wrap design, perfect for modern chic or casual outfits.",affiliate-women-40,women-87 Background Removed.png,Bottom,Skort,Black,Regular,EastRose.id,"Casual, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSSLAt4YV/,"Rp89.000,00",5,Rp4.450
41,"A sophisticated denim sleeveless button-up dress with contrast stitching, combining modern style with timeless appeal.",affiliate-women-41,women-88 Background Removed.png,Full Body,Dress,Navy,Slim,EastRose.id,"Casual, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSSLAcqrH/,"Rp259.000,00",5,Rp12.950
42,"Classic dark blue denim vest with contrasting stitching and structured fit, versatile for casual and smart-casual styles.",affiliate-women-42,women-89 Background Removed.png,Top,Vest,Navy,Slim,EastRose.id,"Casual, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSSLD8AGW/,"Rp198.900,00",5,Rp9.945
43,"A chic navy blue A-line skirt with subtle texture, offering a versatile and stylish wardrobe essential.",affiliate-women-43,women-90 Background Removed.png,Bottom,Skirt,Navy,Regular,EastRose.id,"Casual, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSSLDmkXB/,"Rp198.900,00",5,Rp9.945
44,"Classic navy blue A-line skort with sleek fabric, ideal for a sophisticated and polished look.",affiliate-women-44,women-91 Background Removed.png,Bottom,Skort,Navy,Regular,EastRose.id,"Casual, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSSLDP3sh/,"Rp178.900,00",5,Rp8.945
45,"A delicate gold ring featuring a sparkling solitaire diamond, perfect for elegant occasions and everyday glamour.",affiliate-women-45,women-92 Background Removed.png,Accessory,Jewelry,Gold,Regular,Panlandwoo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLD554n/,"Rp81.820,00",15,Rp12.273
46,"Stunning silver ring decorated with round-cut diamonds, combining modern style and timeless glamour for everyday or evening wear.",affiliate-women-46,women-93.png,Accessory,Jewelry,Silver,Regular,Panlandwoo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLDKweE/,"Rp90.906,67",15,Rp13.636
47,"Beautiful silver ring featuring a large, radiant diamond and a band encrusted with smaller stones, perfect for celebrating love and commitment.",affiliate-women-47,women-94.png,Accessory,Jewelry,Silver,Regular,Panlandwoo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLUYrtX/,"Rp90.906,67",15,Rp13.636
48,"Sparkling diamond bracelet with a delicate silver chain, perfect for adding elegance and luxury to any special occasion.",affiliate-women-48,women-95.png,Accessory,Jewelry,Silver,Regular,Panlandwoo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLURYhK/,"Rp109.093,33",15,Rp16.364
49,"Elegant pair of diamond stud earrings in a classic rose gold setting, perfect for adding a touch of sparkle to any outfit.",affiliate-women-49,women-96 Background Removed.png,Accessory,Jewelry,Rose gold,Regular,Panlandwoo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLUQpPt/,"Rp81.820,00",10,Rp8.182
50,"Delicate diamond pendant necklace on a fine rose gold chain, embodying timeless sophistication and grace.",affiliate-women-50,women-97 Background Removed.png,Accessory,Jewelry,Rose gold,Regular,Panlandwoo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLUPVSR/,"Rp109.093,33",15,Rp16.364
51,"Sleek silver ring featuring a stunning cushion-cut diamond and a row of smaller diamonds, symbolizing love and luxury.",affiliate-women-51,women-98 Background Removed.png,Accessory,Jewelry,Gold,Regular,Panlandwoo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLyrxFg/,"Rp109.090,00",10,Rp10.909
52,"Stylish rose gold huggie earrings featuring embedded crystals, combining subtle glamour and modern design.
",affiliate-women-52,women-99 Background Removed.png,Accessory,Jewelry,Gold,Regular,Panlandwoo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLyeuLm/,"Rp100.000,00",15,Rp15.000
53,"Gold hoop earrings with sparkling crystal flowers, offering a chic and feminine accessory for any occasion.",affiliate-women-53,women-100 Background Removed.png,Accessory,Jewelry,Gold,Regular,Panlandwoo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLy2QaB/,"Rp100.000,00",15,Rp15.000
54,"Elegant gold flower earrings with dangling daisy motifs, perfect for adding a delicate floral touch to your ensemble.",affiliate-women-54,women-101 Background Removed.png,Accessory,Jewelry,Rose gold,Regular,Panlandwoo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLygqT5/,"Rp90.906,67",15,Rp13.636
55,"Rose gold chain featuring a sparkling butterfly pendant adorned with crystals, perfect for a whimsical and feminine accessory.",affiliate-women-55,women-102 Background Removed.png,Accessory,Jewelry,Rose gold,Regular,Panlandwoo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLfBMXw/,"Rp90.906,67",15,Rp13.636
56,"Silver necklace with a delicate bow pendant, adding a touch of elegance and charm to casual or formal outfits effortlessly.",affiliate-women-56,women-103 Background Removed.png,Accessory,Jewelry,Silver,Regular,Panlandwoo,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSSLyvhmG/,"Rp100.000,00",15,Rp15.000
57,"Vibrant red short-sleeve blouse with puffed sleeves and a V-neck, adding boldness and style to any wardrobe.",affiliate-women-57,affiliate-women-104.png,Top,Blouse,Red,Regular,Beatrice Clothing,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2VtbSY/,"Rp105.500,00",10,Rp10.550
58,"Vibrant blue rounded-neck t-shirt with a relaxed fit, offering comfort and a bold pop of color for everyday wear.",affiliate-women-58,affiliate-women-105.png,Top,Blouse,Royal Blue,Regular,Beatrice Clothing,"Casual, Semi-Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2VEPAW/,"Rp94.950,00",10,Rp9.495
59,"Classic navy blue button-up shirt with a tailored fit, ideal for professional or casual chic looks.",affiliate-women-59,affiliate-women-106.png,Top,Shirt,Navy,Oversized,Beatrice Clothing,"Formal, Work/Office",https://vt.tokopedia.com/t/ZSS2qDPbD/,"Rp94.950,00",10,Rp9.495
60,"Elegant white wide-leg pants with a smooth, flowing silhouette, perfect for sophisticated, comfortable outfits suitable for various occasions.",affiliate-women-60,affiliate-women-107.png,Bottom,Culottes,White,Wide,Beatrice Clothing,"Casual, Party/Events, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSS2qPTVG/,"Rp119.900,00",10,Rp11.990
61,"Classic gray tailored pants with a sleek fit, ideal for professional or smart-casual ensembles with versatile styling options.",affiliate-women-61,affiliate-women-108.png,Bottom,Trousers,Gray,Straight,Beatrice Clothing,"Casual, Formal, Work/Office, Semi-Formal",https://vt.tokopedia.com/t/ZSS2VEPAW/,"Rp139.900,00",10,Rp13.990
62,"Elegant black pleated midi skirt with a structured silhouette, perfect for sophisticated outfits suitable for various occasions.",affiliate-women-62,affiliate-women-109.png,Bottom,Skirt,Black,Wide,Beatrice Clothing,"Casual, Semi-Formal, Formal, Party/Events, Work/Office, Vacation/Travel",https://vt.tokopedia.com/t/ZSS2brfuS/,"Rp119.800,00",10,Rp11.980
63,"Stylish black and white striped top with clean lines, perfect for a modern, casual chic look that blends simplicity and elegance effortlessly.",affiliate-women-63,affiliate-women-110.png,Top,Shirt,"White, Black",Regular,Beatrice Clothing,"Casual, Semi-Formal, Work/Office, Party/Events, Vacation/Travel, Lounge/Relax",https://vt.tokopedia.com/t/ZSS2bDSdN/,"Rp125.910,00",10,Rp12.591
64,"Classic red high-waisted midi skirt with a flowing silhouette, ideal for both professional and evening wear, adding boldness to any wardrobe.",affiliate-women-64,affiliate-women-111.png,Bottom,Skirt,Red,Wide,Beatrice Clothing,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2bH5MW/,"Rp249.000,00",10,Rp24.900
65,"Sleek white floor-length skirt with a smooth finish, perfect for creating timeless, sophisticated looks for special occasions or elegant events.",affiliate-women-65,affiliate-women-112.png,Bottom,Skirt,White,Wide,Beatrice Clothing,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2VEPAW/,"Rp224.900,00",10,Rp22.490
66,"Nude-colored slingback shoes with a closed toe and small heel, offering a chic and versatile option for everyday elegance.",affiliate-women-66,affiliate-women-113 Background Removed.png,Footwear,Heel,Sand,Regular,Vivi Nici,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2g8GeR/,"Rp163.570,00",10,Rp16.357
67,"Elegant beige pointed-toe heels with a strap detail, combining sophistication and comfort, perfect for formal or stylish casual outfits.",affiliate-women-67,affiliate-women-114 Background Removed.png,Footwear,Heel,"Khaki, Beige",Regular,Vivi Nici,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2gLo1Q/,"Rp172.650,00",10,Rp17.265
68,"Comfortable navy slide sandals with crisscross straps, ideal for casual summer outings and relaxed weekends with effortless style.",affiliate-women-68,affiliate-women-115 Background Removed.png,Footwear,Sandals,Navy,Regular,Vivi Nici,"Casual, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSS2VEPAW/,"Rp735.220,00",10,Rp73.522
69,"Chic white pointed-toe shoes with a small heel and ankle strap, perfect for sophisticated outfits and office-ready looks with a modern touch.",affiliate-women-69,affiliate-women-116 Background Removed.png,Footwear,Heel,Beige,Regular,Vivi Nici,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2gfGh1/,"Rp172.650,00",10,Rp17.265
70,"Elegant cream-colored pointed-toe flats with thin strap accents, blending sophistication and comfort for versatile, stylish daily wear.",affiliate-women-70,affiliate-women-117 Background Removed.png,Footwear,Flat shoes,Beige,Regular,Vivi Nici,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2g3esJ/,"Rp175.130,00",10,Rp17.513
71,"Classic black slingback heels with a modest heel and ankle strap, offering timeless elegance and optimal support for formal and semi-formal occasions.",affiliate-women-71,affiliate-women-118 Background Removed.png,Footwear,Heel,Black,Regular,Vivi Nici,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2p8bUa/,"Rp164.390,00",10,Rp16.439
72,"Sleek black strappy heels with embellishments, perfect for elegant evening outings or a polished daytime look that commands attention.",affiliate-women-72,affiliate-women-119 Background Removed.png,Footwear,Heel,Black,Regular,Vivi Nici,"Party/Events, Semi-Formal, Casual",https://vt.tokopedia.com/t/ZSS2pJxfe/,"Rp172.650,00",10,Rp17.265
73,"Stylish brown block-heel shoes with a sleek strap design, combining elegance and comfort for versatile, fashionable daytime or evening outfits.",affiliate-women-73,affiliate-women-120 Background Removed.png,Footwear,Heel,Brown,Regular,Vivi Nici,"Casual, Semi-Formal, Formal, Party/Events, Work/Office",https://vt.tokopedia.com/t/ZSS2gv64y/,"Rp180.910,00",10,Rp18.091
74,Chic and stylish: elegant cream-colored slip-on sandals with a knot detail and trendy strappy heels—perfect for elevating any fashionable look.,affiliate-women-74,affiliate-women-121 Background Removed.png,Footwear,Sandals,Beige,Regular,Vivi Nici,"Casual, Lounge/Relax, Vacation/Travel",https://vt.tokopedia.com/t/ZSS2pCK1v/,"Rp131.350,00",10,Rp13.135
